AVALIAÇÃO;REDE;ANO ESCOLAR;COMPONENTE CURRICULAR;ENTIDADE;HABILIDADE - POSIÇÃO (CÓDIGO);HABILIDADE - DESCRIÇÃO;HABILIDADE - ACERTO %;HABILIDADE - FAIXA
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 01 (D001_M);Identificar a localização ou a movimentação de pessoas ou objetos em uma representação plana do espaço.;95;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 02 (D002_M);Reconhecer características do sistema de numeração decimal.;86;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 03 (D003_M);Identificar composições ou decomposições de números naturais.;23;Baixo
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 04 (D005_M);Utilizar números naturais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas.;91;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 05 (D009_M);Identificar informações apresentadas em tabelas ou gráficos.;100;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 06 (D014_M);Corresponder o horário de início e de término com o intervalo de duração de um evento ou acontecimento.;50;Médio Baixo
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 07 (D017_M);Corresponder números naturais à sua escrita por extenso.;91;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 08 (D019_M);Identificar instrumentos utilizados para medir determinadas grandezas (massa, comprimento, capacidade, tempo e temperatura).;100;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 09 (D020_M);Corresponder figuras tridimensionais às suas planificações.;95;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 10 (D021_M);Utilizar informações apresentadas em tabelas ou gráficos na resolução de problemas.;91;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 11 (D022_M);Utilizar números naturais, envolvendo diferentes significados da multiplicação ou da divisão, na resolução de problemas.;45;Médio Baixo
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 12 (D023_M);Determinar o número desconhecido que torna verdadeira uma igualdade matemática envolvendo representação simbólica.;59;Médio Baixo
