AVALIAÇÃO;REDE;ANO ESCOLAR;COMPONENTE CURRICULAR;ENTIDADE;HABILIDADE - POSIÇÃO (CÓDIGO);HABILIDADE - DESCRIÇÃO;HABILIDADE - ACERTO %;HABILIDADE - FAIXA
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 01 (D016_P);Identificar a finalidade de textos de diferentes gêneros.;50;Médio Baixo
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 02 (D017_P);Reconhecer o gênero de um texto.;95;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 03 (D021_P);Localizar informação explícita.;67;Médio Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 04 (D022_P);Inferir o sentido de palavra ou expressão a partir do contexto.;91;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 05 (D023_P);Inferir informações em textos.;95;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 06 (D025_P);Reconhecer efeitos de sentido decorrentes do uso ou função da pontuação e de outras notações.;94;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 07 (D028_P);Reconhecer o assunto de um texto lido.;95;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 08 (D030_P);Reconhecer os elementos que compõem uma narrativa e o conflito gerador.;100;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 09 (D037_P);Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para a sua continuidade.;100;Alto
AVALIAÇÃO DIAGNÓSTICA 2025;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 10 (D057_P);Interpretar textos que articulam elementos verbais e não verbais.;97;Alto
