AVALIAÇÃO,REDE,ANO ESCOLAR,COMPONENTE CURRICULAR,HABILIDADE - POSIÇÃO (CÓDIGO),HABILIDADE - DESCRIÇÃO,HABILIDADE - ACERTO %,HABILIDADE - FAIXA
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 01 (D016_P),Identificar a finalidade de textos de diferentes gêneros.,50,Médio Baixo
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 02 (D017_P),Reconhecer o gênero de um texto.,95,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 03 (D021_P),Localizar informação explícita.,67,Médio Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 04 (D022_P),Inferir o sentido de palavra ou expressão a partir do contexto.,91,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 05 (D023_P),Inferir informações em textos.,95,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 06 (D025_P),Reconhecer efeitos de sentido decorrentes do uso ou função da pontuação e de outras notações.,94,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 07 (D028_P),Reconhecer o assunto de um texto lido.,95,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 08 (D030_P),Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,100,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 09 (D037_P),"Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para a sua continuidade.",100,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 10 (D057_P),Interpretar textos que articulam elementos verbais e não verbais.,97,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 01 (D001_M),Identificar a localização ou a movimentação de pessoas ou objetos em uma representação plana do espaço.,95,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 02 (D002_M),Reconhecer características do sistema de numeração decimal.,86,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 03 (D003_M),Identificar composições ou decomposições de números naturais.,23,Baixo
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 04 (D005_M),"Utilizar números naturais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas.",91,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 05 (D009_M),Identificar informações apresentadas em tabelas ou gráficos.,100,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 06 (D014_M),Corresponder o horário de início e de término com o intervalo de duração de um evento ou acontecimento.,50,Médio Baixo
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 07 (D017_M),Corresponder números naturais à sua escrita por extenso.,91,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 08 (D019_M),"Identificar instrumentos utilizados para medir determinadas grandezas (massa, comprimento, capacidade, tempo e temperatura).",100,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 09 (D020_M),Corresponder figuras tridimensionais às suas planificações.,95,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 10 (D021_M),Utilizar informações apresentadas em tabelas ou gráficos na resolução de problemas.,91,Alto
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 11 (D022_M),"Utilizar números naturais, envolvendo diferentes significados da multiplicação ou da divisão, na resolução de problemas.",45,Médio Baixo
AVALIAÇÃO DIAGNÓSTICA 2025,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 12 (D023_M),Determinar o número desconhecido que torna verdadeira uma igualdade matemática envolvendo representação simbólica.,59,Médio Baixo
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 01 (D001_M),Identificar a localização ou a movimentação de pessoas ou objetos em uma representação plana do espaço.,92,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 02 (D002_M),Reconhecer características do sistema de numeração decimal.,100,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 03 (D003_M),Identificar composições ou decomposições de números naturais.,92,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 04 (D004_M),Executar adição ou subtração com números naturais.,92,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 05 (D005_M),"Utilizar números naturais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas.",92,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 06 (D009_M),Identificar informações apresentadas em tabelas ou gráficos.,100,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 07 (D010_M),Identificar representações de figuras bidimensionais.,100,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 08 (D014_M),Corresponder o horário de início e de término com o intervalo de duração de um evento ou acontecimento.,100,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 09 (D015_M),Corresponder cédulas e/ou moedas do Sistema Monetário Brasileiro.,92,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 10 (D020_M),Corresponder figuras tridimensionais às suas planificações.,50,Médio Baixo
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 11 (D025_M),Utilizar área de figuras bidimensionais na resolução de problema.,92,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 12 (D026_M),Corresponder números racionais a pontos da reta numérica.,100,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 13 (D030_M),"Utilizar conversão entre unidades de medida, na resolução de problema.",96,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 14 (D043_M),Utilizar perímetro de figuras bidimensionais na resolução de problema.,0,Baixo
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 15 (D086_M),Executar multiplicação ou divisão com números naturais.,83,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MT,H 16 (D120_M),"Utilizar a escrita decimal de cédulas e moedas do sistema monetário brasileiro, na resolução de problema.",100,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 01 (D016_P),Identificar a finalidade de textos de diferentes gêneros.,92,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 02 (D021_P),Localizar informação explícita.,100,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 03 (D022_P),Inferir o sentido de palavra ou expressão a partir do contexto.,69,Médio Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 04 (D023_P),Inferir informações em textos.,94,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 05 (D025_P),Reconhecer efeitos de sentido decorrentes do uso ou função da pontuação e de outras notações.,96,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 06 (D028_P),Reconhecer o assunto de um texto lido.,94,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 07 (D030_P),Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,100,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 08 (D037_P),"Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para a sua continuidade.",100,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 09 (D039_P),Reconhecer o sentido das relações lógico-discursivas em um texto.,100,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 10 (D057_P),Interpretar textos que articulam elementos verbais e não verbais.,92,Alto
SIMULADO SAEB,ESTADUAL,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,LP,H 11 (D103_P),Identificar as marcas linguísticas que evidenciam o locutor e o interlocutor de um texto.,8,Baixo
