Rede,Etapa,Componente Curricular,Turma,Previstos,Avaliados,Avaliados (%),Proficiência Média
ESTADUAL,ENSINO FUNDAMENTAL   - 2º ANO,LP,2:00 AM,19,12,63,579
ESTADUAL,ENSINO FUNDAMENTAL   - 5º ANO,LP,5A,16,15,94,192
ESTADUAL,ENSINO FUNDAMENTAL   - 9º ANO,LP,9:00 AM,24,16,67,212
ESTADUAL,ENSINO FUNDAMENTAL   - 9º ANO,LP,9B,20,13,65,200
ESTADUAL,ENSINO MEDIO - 3ª SERIE,LP,301,16,12,75,249
ESTADUAL,ENSINO MEDIO - 3ª SERIE,LP,302,13,9,69,281
ESTADUAL,ENSINO FUNDAMENTAL   - 2º ANO,MT,2:00 AM,19,15,79,465
ESTADUAL,ENSINO FUNDAMENTAL   - 5º ANO,MT,5A,16,15,94,198
ESTADUAL,ENSINO FUNDAMENTAL   - 9º ANO,MT,9:00 AM,24,15,63,231
ESTADUAL,ENSINO FUNDAMENTAL   - 9º ANO,MT,9B,20,13,65,218
ESTADUAL,ENSINO MEDIO - 3ª SERIE,MT,301,16,12,75,238
ESTADUAL,ENSINO MEDIO - 3ª SERIE,MT,302,13,9,69,250
