AVALIAÇÃO;REDE;ANO ESCOLAR;COMPONENTE CURRICULAR;ENTIDADE;HABILIDADE - POSIÇÃO (CÓDIGO);HABILIDADE - DESCRIÇÃO;HABILIDADE - ACERTO %;HABILIDADE - FAIXA
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 01 (D001_M);Identificar a localização ou a movimentação de pessoas ou objetos em uma representação plana do espaço.;92;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 02 (D002_M);Reconhecer características do sistema de numeração decimal.;100;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 03 (D003_M);Identificar composições ou decomposições de números naturais.;92;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 04 (D004_M);Executar adição ou subtração com números naturais.;92;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 05 (D005_M);Utilizar números naturais, envolvendo diferentes significados da adição ou da subtração, na resolução de problemas.;92;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 06 (D009_M);Identificar informações apresentadas em tabelas ou gráficos.;100;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 07 (D010_M);Identificar representações de figuras bidimensionais.;100;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 08 (D014_M);Corresponder o horário de início e de término com o intervalo de duração de um evento ou acontecimento.;100;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 09 (D015_M);Corresponder cédulas e/ou moedas do Sistema Monetário Brasileiro.;92;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 10 (D020_M);Corresponder figuras tridimensionais às suas planificações.;50;Médio Baixo
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 11 (D025_M);Utilizar área de figuras bidimensionais na resolução de problema.;92;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 12 (D026_M);Corresponder números racionais a pontos da reta numérica.;100;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 13 (D030_M);Utilizar conversão entre unidades de medida, na resolução de problema.;96;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 14 (D043_M);Utilizar perímetro de figuras bidimensionais na resolução de problema.;0;Baixo
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 15 (D086_M);Executar multiplicação ou divisão com números naturais.;83;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;MT;INST ESTADUAL PADRE CAETANO;H 16 (D120_M);Utilizar a escrita decimal de cédulas e moedas do sistema monetário brasileiro, na resolução de problema.;100;Alto
