AVALIAÇÃO;REDE;ANO ESCOLAR;COMPONENTE CURRICULAR;ENTIDADE;HABILIDADE - POSIÇÃO (CÓDIGO);HABILIDADE - DESCRIÇÃO;HABILIDADE - ACERTO %;HABILIDADE - FAIXA
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 01 (D016_P);Identificar a finalidade de textos de diferentes gêneros.;92;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 02 (D021_P);Localizar informação explícita.;100;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 03 (D022_P);Inferir o sentido de palavra ou expressão a partir do contexto.;69;Médio Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 04 (D023_P);Inferir informações em textos.;94;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 05 (D025_P);Reconhecer efeitos de sentido decorrentes do uso ou função da pontuação e de outras notações.;96;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 06 (D028_P);Reconhecer o assunto de um texto lido.;94;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 07 (D030_P);Reconhecer os elementos que compõem uma narrativa e o conflito gerador.;100;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 08 (D037_P);Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para a sua continuidade.;100;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 09 (D039_P);Reconhecer o sentido das relações lógico-discursivas em um texto.;100;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 10 (D057_P);Interpretar textos que articulam elementos verbais e não verbais.;92;Alto
SIMULADO SAEB;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;INST ESTADUAL PADRE CAETANO;H 11 (D103_P);Identificar as marcas linguísticas que evidenciam o locutor e o interlocutor de um texto.;8;Baixo
