ENTIDADE;REDE;ETAPA;DISCIPLINA;CD_HABILIDADE;DC_HABILIDADE;TX_ACERTO;FAIXA DA HABILIDADE
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 01 (D09);Identificar a finalidade de textos de diferentes gêneros.;54;Médio Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 02 (D15);Reconhecer diferentes formas de tratar uma informação na comparação de textos que tratam do mesmo tema, em função das condições em que ele foi produzido e daquelas em que será recebido.;17;Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 03 (D01);Localizar informações explícitas em um texto.;56;Médio Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 04 (D03);Inferir o sentido de uma palavra ou expressão.;48;Médio Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 05 (D04);Inferir uma informação implícita em um texto.;48;Médio Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 06 (D13);Identificar efeitos de ironia ou humor em textos variados.;43;Médio Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 07 (D14);Reconhecer o efeito de sentido decorrente do uso da pontuação e de outras notações.;32;Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 08 (D06);Identificar o tema de um texto.;71;Médio Alto
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 09 (D07);Identificar o conflito gerador do enredo e os elementos que constroem a narrativa.;50;Médio Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 10 (D02);Estabelecer relações entre partes de um texto, identificando repetições ou substituições que contribuem para a continuidade de um texto.;45;Médio Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 11 (D11);Distinguir um fato da opinião relativa a esse fato.;30;Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 12 (D12);Estabelecer relações lógico-discursivas presentes no texto, marcadas por conjunções, advérbios, etc.;27;Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 13 (D10);Identificar as marcas linguísticas que evidenciam o locutor e o interlocutor de um texto.;57;Médio Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 14 (D05);Interpretar texto com auxílio de material gráfico diverso (propagandas, quadrinhos, foto, etc.).;45;Médio Baixo
INST ESTADUAL PADRE CAETANO;ESTADUAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;H 15 (D08);Estabelecer relação causa/consequência entre partes e elementos do texto.;50;Médio Baixo
